student_id,gender,department,scholarship,parental_education,extra_curricular,age,cgpa,attendance_rate,family_income,past_failures,study_hours_per_week,assignments_submitted,projects_completed,total_activities,sports_participation,scholarship_binary,sports_binary,low_attendance,low_cgpa,high_failures,low_study_hours,cgpa_attendance_interaction,study_cgpa_ratio,assignment_completion_rate,academic_performance_score,engagement_score,risk_score,cgpa_squared,attendance_squared,income_bracket,age_group,dropout,risk_probability
205631,0,2,1,2,0,24.0,4.081791516,75.89388944,32131,4.0,22.4,51,0,5,0,1,0,0,1,1,0,309.783034032434,5.356555895791339,1.02,58.3559023,0.0,5,16.66102198008958,5759.882454330943,2,0,0,0.24101378610926177
216897,0,6,0,4,0,19.0,4.227551346,67.1693533,26360,6.0,5.9,10,3,3,0,0,0,1,1,1,1,283.96188995336456,1.3633575960810795,0.2,54.72243338,0.0,9,17.872190383066414,4511.72202274022,2,3,1,0.9453162111800244
205436,0,6,1,4,0,25.0,5.225224207,60.91433171,15732,6.0,15.1,36,4,6,0,1,0,1,0,1,0,318.29104060431973,2.8355613609941663,0.72,56.58328689,0.0,5,27.30296801341878,3710.555807675911,1,0,1,0.9069728205409211
207353,0,5,0,1,0,26.0,4.471950342,74.58421769,42785,4.0,17.3,3,1,2,1,0,1,0,1,1,0,333.536917806598,3.7839431109026687,0.06,59.651860555,1.0,5,19.99833986131392,5562.80552842931,2,1,0,0.18015989591200848
214784,1,3,0,4,0,18.0,4.322311295,76.72998966,16049,2.0,24.9,35,3,8,0,0,0,0,1,0,0,331.65090097265124,5.630539855516887,0.7,59.976551305,0.0,3,18.68237493088458,5887.491313223707,1,2,0,0.3128913926705351
203473,0,1,0,4,0,25.0,4.26936751,71.57592822,68582,5.0,17.6,20,2,1,1,0,1,0,1,1,0,305.5839424405601,4.028042951232546,0.4,57.13480166,1.0,5,18.227498935443602,5123.113500554591,0,0,1,0.7810682371771049
209656,0,0,0,4,0,26.0,6.013147412,89.2925569,75144,2.0,8.6,21,3,9,0,0,0,0,0,0,1,536.9293074340977,1.4068039620831574,0.42,74.71201551,0.0,1,36.1579417984423,7973.160717739736,3,1,0,0.11452278434637382
207181,0,3,0,4,0,21.0,5.137650102,71.34438115,67847,4.0,21.7,56,3,9,0,0,0,0,0,1,0,366.54246709242443,4.143079353795291,1.12,61.360441085000005,0.0,2,26.395448570580612,5090.020721676476,0,3,0,0.258267761816796
202090,0,0,0,0,0,17.0,4.305949523,73.13804473,84148,6.0,8.7,3,2,6,0,0,0,0,1,1,1,314.9287288182962,1.9746027399052435,0.06,58.09876998,0.0,6,18.541201294623924,5349.173586927482,3,2,1,0.6059840230000603
217123,0,6,0,3,0,23.0,6.637109626,100.0,71972,3.0,19.4,35,1,6,0,0,0,0,0,0,0,663.7109626,2.8795731518351873,0.7,83.18554813,0.0,0,44.05122418754186,10000.0,0,0,0,0.05932610489498647
206206,0,1,0,2,0,24.0,5.687291466,68.88151229,30004,2.0,15.8,16,0,1,0,0,0,1,0,0,0,391.7492370120911,2.730119969388803,0.32,62.877213475,0.0,3,32.345284219236426,4744.662735357421,2,0,0,0.06166762883099405
219859,0,1,0,2,0,18.0,5.987094506,77.42381784,54711,4.0,14.4,36,0,9,0,0,0,0,0,1,0,463.5437144234088,2.3656606589245555,0.72,68.64738145,0.0,2,35.84530062377539,5994.447568921502,0,2,0,0.13532851354245864
203984,2,6,0,4,0,19.0,6.43857409,100.0,36262,3.0,21.5,50,1,2,0,0,0,0,0,0,0,643.8574090000001,3.2881786921833287,1.0,82.19287045,0.0,0,41.45523631241933,10000.0,2,3,0,0.046308237159114855
205230,0,0,0,0,0,19.0,5.214653293,88.16307243,64468,5.0,6.4,25,1,6,0,0,0,0,0,1,1,459.73985596809695,1.2042177818879598,0.5,70.15480267999999,0.0,3,27.19260896619574,7772.727340297426,0,3,0,0.3147295153387442
209948,0,0,0,4,0,25.0,4.49662505,68.21071033,75499,3.0,8.8,45,3,3,0,0,0,1,1,0,1,306.7179887481717,1.9144480796840286,0.9,56.58848041499999,0.0,7,20.2196368402875,4652.7010037231685,3,0,0,0.4460890143784285
201512,0,0,0,4,0,18.0,6.105569749,77.26363554,63106,2.0,12.1,23,3,9,0,0,0,0,0,0,0,471.73851585078523,1.949861251974464,0.46,69.159666515,0.0,0,37.27798195990392,5969.669376857951,0,2,0,0.1037012938714876
208527,0,6,0,0,0,25.0,4.765677632,68.79082524,27912,2.0,12.1,19,0,5,0,0,0,1,1,0,0,327.83489713308904,2.4868067544019326,0.38,58.223800780000005,0.0,6,22.71168329214513,4732.177637200221,2,0,0,0.14213792990080273
205314,1,4,0,3,0,21.0,5.073740505,83.33862123,55795,2.0,23.8,33,0,2,0,0,0,0,0,0,0,422.8385381655039,4.600153404872014,0.66,67.03801314,0.0,0,25.742842712077653,6945.325788517407,0,3,0,0.10987041467913741
214313,0,0,0,0,0,24.0,6.510641612,79.0921811,64197,3.0,5.3,30,1,1,0,0,0,0,0,0,1,514.9408454535,0.801737609005932,0.6,72.09929861,0.0,1,42.38845419990596,6255.573111155198,0,0,0,0.08630993537969008
206958,0,2,0,4,0,26.0,4.481530134,67.61597451,24868,2.0,15.5,16,1,8,0,0,0,1,1,0,0,303.02302730634085,3.3831491983372386,0.32,56.215637924999996,0.0,6,20.084112341950057,4571.92000893697,1,1,0,0.28341084925565324
214400,0,0,0,3,0,24.0,6.708242038,68.03706857,45804,3.0,5.3,4,4,0,0,0,0,1,0,0,1,456.4091235235625,0.7784682110915282,0.08,67.559744475,0.0,4,45.00051124039039,4629.042699598882,2,0,0,0.14950354064639368
211642,0,2,0,0,0,21.0,5.807134957,75.06847704,61260,2.0,6.0,19,0,7,0,0,0,0,0,0,1,435.9327771877359,1.0157208263694661,0.38,66.569913305,0.0,1,33.72281640881139,5635.276245105008,0,3,0,0.09923762208280436
209595,1,0,0,4,0,17.0,6.455322923,65.5870359,56338,6.0,16.4,28,0,8,0,0,0,1,0,1,0,423.38549629689396,2.5017836943560745,0.56,65.070132565,0.0,5,41.67119404020926,4301.659278147889,0,2,0,0.2220363351807447
207752,1,0,0,4,0,23.0,5.1300157,76.6741304,40251,3.0,9.2,4,4,3,0,0,0,0,0,0,1,393.3394927358473,1.7590769373789832,0.08,63.987143700000004,0.0,1,26.317061082246493,5878.922272596204,2,0,0,0.3124964797312339
200341,0,3,0,4,0,21.0,6.475385329,92.8824964,85451,5.0,7.8,8,1,9,0,0,0,0,0,1,1,601.4499545094552,1.1862422671412083,0.16,78.81817484499999,0.0,3,41.930615159028434,8627.158137496011,3,3,0,0.07704352011534701
216683,0,3,0,1,0,22.0,4.57283182,95.77392785,73686,6.0,23.2,14,2,6,0,0,0,0,1,1,0,437.95806479886426,4.964869461105493,0.28,70.751123025,0.0,5,20.910790854004514,9172.645255817008,0,0,0,0.3009278204407076
202202,0,6,0,3,0,21.0,6.661218348,68.67444282,51300,2.0,21.1,21,0,3,0,0,0,1,0,0,0,457.45545855126085,3.1207393274381503,0.42,67.64331315,0.0,3,44.371829879731855,4716.179096637449,0,3,0,0.11901241946189701
216037,0,6,0,3,0,21.0,4.126194345,67.87725388,74766,4.0,11.4,59,1,3,0,0,0,1,1,1,0,280.0747411137853,2.697462319376607,1.18,54.569598665,0.0,8,17.02547977270998,4607.321594289975,0,3,0,0.34575508333026306
201788,0,6,0,3,0,26.0,5.519937661,86.77561042,30169,5.0,24.7,12,2,7,0,0,0,0,0,1,0,478.9959600136221,4.395066545205225,0.24,70.98749351500001,0.0,2,30.469711781326154,7530.0065637636135,2,1,0,0.23967983081967284
203335,0,0,0,0,0,19.0,6.89301167,61.24438793,58251,6.0,9.1,55,2,5,0,0,0,1,0,1,1,422.15828072349717,1.301299129678129,1.1,65.087252315,0.0,6,47.513609882756185,3750.87505292033,0,3,0,0.11725394108925369
206733,1,2,0,4,0,21.0,5.449803838,66.08958699,40690,6.0,9.5,20,2,8,0,0,0,1,0,1,1,360.1752848299369,1.7117722134524207,0.4,60.293812685000006,0.0,6,29.700361872679533,4367.833508508777,2,3,1,0.8387209979900321
207087,2,1,0,3,0,23.0,6.627721984,65.86759826,54887,5.0,15.2,8,1,6,0,0,0,1,0,1,0,436.5521290210821,2.2593085796572656,0.16,66.07240905,0.0,5,43.9266986971969,4338.540500540755,0,0,0,0.2389741136841378
202177,1,3,0,2,0,23.0,5.986076378,70.42912972,43709,5.0,19.9,49,0,5,0,0,0,0,0,1,0,421.5941497399898,3.2697585051569,0.98,65.14494675,0.0,2,35.8331104032496,4960.262313116588,2,0,0,0.13344882402384528
211368,2,4,0,1,0,23.0,5.202968611,68.54600898,18622,4.0,7.2,41,1,7,0,0,0,1,0,1,1,356.64273313226414,1.3577300806693386,0.82,60.287847545,0.0,6,27.070882367051272,4698.5553470862405,1,0,0,0.48778320252441887
213651,2,6,1,4,0,17.0,4.278439187,85.26888893,37196,3.0,10.6,4,0,4,0,1,0,0,1,0,0,364.81775583006254,2.420954031169921,0.08,64.0266404,0.0,3,18.30504187685722,7270.783419356677,2,2,0,0.0661816738288934
212495,2,5,0,4,0,26.0,6.514953048,57.74195207,60778,5.0,11.9,30,4,7,0,0,0,1,0,1,0,376.1861066359164,1.7989545675759422,0.6,61.445741275,0.0,5,42.44461321764449,3334.1330288541776,0,1,1,0.6403366655618966
212736,1,2,0,1,0,23.0,5.622436844,68.69067393,16029,6.0,14.4,15,0,5,0,0,0,1,0,1,0,386.2089759432223,2.51641047206986,0.3,62.457521185000004,0.0,5,31.611796064768683,4718.408684957582,1,0,1,0.7853536762683212
205525,0,1,0,4,0,23.0,4.37398847,60.54405386,76612,2.0,9.3,4,2,4,0,0,0,1,1,0,1,264.818993510699,2.0786821562819098,0.08,52.14196928,0.0,7,19.131775135692937,3665.582457802581,3,0,0,0.2036410269218782
208358,0,0,1,4,0,17.0,6.210098087,90.82730369,40583,3.0,8.0,34,2,5,0,1,0,0,0,0,1,564.046464892637,1.267809135404966,0.68,76.46414228,0.0,1,38.56531825016106,8249.599095595486,2,2,0,0.09181623586420502
200385,0,6,0,4,0,21.0,5.376263386,72.39002071,55452,3.0,14.8,38,2,0,0,0,0,0,0,0,0,389.1878178549547,2.702572713693067,0.76,63.076327285,0.0,0,28.90420799564418,5240.315098394229,0,3,0,0.20027306077197643
205458,2,1,0,3,0,17.0,4.567097545,72.08232356,55493,3.0,7.9,32,4,4,0,0,0,0,1,0,1,329.2070029687717,1.6927008539736876,0.64,58.876649505,0.0,4,20.858379985545028,5195.861369808532,0,2,0,0.22524137495923185
204391,0,5,0,4,0,22.0,6.920039429,100.0,10411,2.0,8.1,17,4,0,0,0,0,0,0,0,1,692.0039429,1.1538396731133231,0.34,84.60019714500001,0.0,1,47.886945698914644,10000.0,1,0,0,0.0518605743054054
