student_id,name,age,gender,department,year,semester,attendance_percentage,internal_marks,previous_semester_gpa,assignments_submitted,total_assignments,test_scores_avg,failed_subjects,library_visits,counseling_sessions,participation_score,late_submissions,disciplinary_actions,extracurricular_activities,financial_aid,commute_time,family_support_index,work_hours_per_week,dropout,risk_score
STU00001,Student_1,23,Female,Computer Science,4,2,59.676902358294335,76.33582625301942,8.589181277319764,2,10,71.83705148696725,2,15,2,6.241494288395428,1,0,0,0,30,7.746308992273394,10,1,0.7504518681113747
STU00002,Student_2,20,Male,Civil,2,1,83.86885656584975,87.2495889646746,7.840295677620191,6,10,59.55608458703482,0,9,0,7.08657213891655,2,0,2,0,30,6.525749567561482,0,0,0.3746873978921332
STU00003,Student_3,24,Male,Computer Science,2,2,82.43721647145316,74.98052532280344,5.975646959701939,5,10,80.47348590842263,0,17,0,7.068908833053586,3,0,1,0,90,7.612720661504763,15,0,0.49217616275149123
STU00004,Student_4,21,Male,Computer Science,3,2,87.21559284032733,57.97840086618884,9.036459883369638,6,10,66.947829450928,0,16,0,5.46930296290377,1,0,2,1,30,7.979068014027838,5,0,0.4022911632969853
STU00005,Student_5,23,Male,Electrical,4,2,83.22289174603583,50.44829534605119,7.117441846358962,10,10,77.99771195212828,0,16,0,6.708149140098223,0,0,1,1,15,8.20251807127368,0,0,0.3354906084422866
STU00006,Student_6,19,Female,Mechanical,4,2,78.56183114874074,66.924524981356,5.76252188160268,4,10,85.52568318581352,0,10,2,6.266111053927417,0,0,1,1,15,9.666191836811322,10,0,0.5088369272942932
STU00007,Student_7,23,Female,Civil,4,1,77.49729259862227,52.45514344085239,8.362494402790691,3,10,86.08633744060982,2,10,1,3.800471775521284,4,0,0,1,15,5.902750599768815,10,1,0.6473379986615134
STU00008,Student_8,24,Male,Electronics,3,2,89.90425804506337,79.50839619433079,7.4345150361893975,6,10,93.37754568290792,0,19,3,8.894661853142138,3,0,3,1,30,5.693308520100513,10,0,0.30594337831349083
STU00009,Student_9,21,Male,Electronics,3,2,87.09266915583498,28.611450131767967,8.239509029728797,2,10,82.21720827822129,1,16,0,5.933197708773761,1,0,1,1,45,8.03078035868449,10,1,0.6605494761520552
STU00010,Student_10,20,Male,Computer Science,2,2,77.51080015205429,57.48826514942669,2.0119131836239292,9,10,74.87398698703697,0,14,0,8.171176164975115,0,0,1,0,60,6.9271583251080475,5,1,0.6735983970082899
STU00011,Student_11,24,Male,Electrical,1,2,92.50155905845399,76.0157198293643,5.159008590628592,6,10,91.78791795898394,0,18,3,7.728641797766656,0,0,3,0,15,8.681908906424285,5,0,0.34346488299334893
STU00012,Student_12,24,Male,Electrical,4,1,83.32940567347579,73.51954099847686,7.792792999750967,1,10,36.14255238734282,0,14,2,6.323179273501857,1,0,1,1,15,5.1212712492831916,15,0,0.43009919227824855
STU00013,Student_13,19,Male,Electronics,4,2,77.2213762579775,78.26958399251124,5.725707952045379,7,10,79.29762244936082,0,15,1,7.291792658528068,0,0,2,0,15,9.157131472440206,5,1,0.5637696789112869
STU00014,Student_14,22,Female,Civil,1,1,91.96096871188327,41.55554561386972,5.834833670085363,5,10,75.00370547868863,2,7,0,6.033211090999512,2,0,2,1,90,6.956332131559833,0,1,0.7833532059028357
STU00015,Student_15,21,Male,Mechanical,4,2,87.83660928701119,77.86355405223672,5.944162223917656,2,10,84.37452926084889,0,19,1,6.924695332606276,1,0,0,1,90,7.95321877148642,5,0,0.4806509127848771
STU00016,Student_16,18,Female,Civil,3,1,81.0751393445056,52.055398778656205,7.729281600106528,2,10,26.66828040975463,0,13,0,5.572354836444697,3,0,0,0,15,9.961705919138922,0,0,0.4852927754654659
STU00017,Student_17,24,Female,Mechanical,3,1,64.10919890999807,79.50675011936752,6.96931130870214,4,10,59.38920698709735,0,13,1,5.6783746481393855,3,0,3,0,15,6.289874063101738,0,1,0.5512533531295493
STU00018,Student_18,22,Male,Electronics,4,1,86.38803659407867,61.35566763190784,6.746819843093002,2,10,75.7934037227853,0,13,1,6.369143684819334,0,0,1,0,90,8.730557386865808,0,0,0.4958148693972207
STU00019,Student_19,18,Female,Mechanical,3,1,59.346637284940826,59.436413762141335,7.006269114204459,5,10,82.9550945499347,0,14,1,6.818920910787694,3,0,0,1,60,6.177159275430702,0,1,0.6550850489007756
STU00020,Student_20,21,Female,Electrical,3,1,74.45741244885654,70.27246211479125,6.214151418086904,1,10,86.54910704118923,0,18,1,6.391664185861313,2,0,1,0,45,8.689789571155135,0,1,0.6588586213917782
STU00021,Student_21,17,Female,Computer Science,4,2,82.02355502190059,82.30400516177593,9.80267652337971,7,10,74.91930340518383,0,19,1,4.114430853958757,2,0,1,1,60,5.689895943202949,0,0,0.2588407721805123
STU00022,Student_22,22,Female,Computer Science,2,2,88.16940088951681,61.54390936695966,7.009793344411688,10,10,90.43026585140784,1,12,0,7.905140708086646,2,0,2,0,45,7.9931706901358135,5,0,0.43228915471948337
STU00023,Student_23,25,Female,Electronics,1,2,81.0761810012759,43.60130247787032,8.283270439145504,10,10,71.43531691943271,1,11,0,5.806453348060404,5,0,3,1,30,6.334217524121112,0,1,0.6000385876121502
STU00024,Student_24,17,Female,Electrical,3,1,96.65603093857763,71.75799011359543,7.318778009147579,8,10,86.95991766273352,0,10,1,6.068220581873516,4,0,3,0,30,9.089918708059477,0,0,0.32453410991819825
STU00025,Student_25,19,Male,Civil,2,2,62.307678040071124,66.35569561271767,8.89508006158896,6,10,58.39850024027298,0,16,0,7.465418345293458,2,0,3,1,60,7.884378571550965,10,1,0.5624770091435471
STU00026,Student_26,23,Female,Electrical,3,1,66.44507996755334,69.63731189654453,9.394417567452297,2,10,94.2141399201068,1,20,0,6.919472221380123,5,0,0,1,90,4.373253738783552,15,1,0.6340565314429686
STU00027,Student_27,20,Female,Computer Science,3,1,76.29118013173029,98.37069490752354,8.671376506726249,10,10,77.5101615854774,2,22,0,7.570850024817273,1,0,2,1,15,9.015406585292885,0,0,0.35309198334723974
STU00028,Student_28,25,Female,Computer Science,1,2,78.10597005172654,76.86149033847789,3.8414288348128123,9,10,89.68589625941146,2,15,0,7.096028032120568,1,0,0,1,30,5.7591343787614235,15,1,0.557962468858262
STU00029,Student_29,19,Male,Electrical,3,2,81.24394152155192,78.92737374300461,9.263402419990749,3,10,75.85952329118496,1,18,3,6.022810893472586,2,1,0,1,90,6.5007283525969575,5,0,0.4314209984648044
STU00030,Student_30,21,Female,Electrical,1,1,98.81246946931591,28.46823742858305,7.535291644176763,9,10,91.2684378602399,0,19,0,6.106233426081852,2,0,2,0,90,6.821263446136734,0,0,0.467752286068157
STU00031,Student_31,19,Male,Computer Science,1,1,75.75283566001649,89.24318438363456,6.0940642454317295,1,10,56.98175533750815,1,14,1,6.232732261675381,0,0,1,1,45,8.565337817151875,10,0,0.5312511407340692
STU00032,Student_32,23,Female,Civil,1,2,57.751258317840026,60.10272733881218,8.858619946200534,8,10,84.66413086746597,1,15,1,6.277205612729489,2,0,3,1,30,7.918651141888815,15,1,0.7104573278055539
STU00033,Student_33,21,Male,Electronics,2,2,80.81594689334126,81.4758861364985,7.328389702052476,4,10,94.24945632493291,0,14,0,5.2782610136672,1,0,0,1,60,7.071112018867147,5,0,0.39265425156026884
STU00034,Student_34,25,Male,Electronics,4,2,72.71167476531805,58.56101061923027,8.44524952576805,1,10,77.55746823694788,0,15,2,6.078032740448496,2,0,2,0,90,8.212868466388603,0,1,0.6891755143154414
STU00035,Student_35,23,Female,Electrical,2,2,94.24560806898864,40.32143022380429,6.5821557817235385,9,10,81.96553043531671,0,15,0,7.155602468585319,0,0,0,0,60,7.379232931274894,0,0,0.5031908327352068
STU00036,Student_36,18,Female,Electronics,4,1,77.8560245398925,65.38880884041627,8.315802802869182,5,10,69.41617137115148,0,17,2,5.210415856720393,3,0,0,0,60,8.154245864572834,0,0,0.46783452744782705
STU00037,Student_37,20,Male,Computer Science,4,2,67.46988195219726,57.244108682523255,6.2150620733188555,6,10,53.94130633225286,0,13,0,8.282954481230773,3,0,1,0,30,8.110017166774332,0,1,0.5861461170324599
STU00038,Student_38,25,Female,Computer Science,1,2,65.12460503029165,62.351288816097764,7.733396067468349,1,10,38.040459775083136,0,10,0,8.73625570514397,2,0,1,1,60,8.0185491912407,0,1,0.6273925013747015
